Altium Designer Pick and Place Locations
M:\ud\demo\projects\EWI\2020\GEH2AE MRI (geh2a4)\04_E Ontwerp\GradientAmp2\PCB Design\GradientAmp2\Project Outputs for GradientAmp2\Pick Place\Pick Place for GA2 PCB.txt

========================================================================================================================
File Design Information:

Date:       18-09-20
Time:       09:20
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment         Layer       Footprint                 Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                               
D32        PMEG6010CEJ,115 TopLayer    NXP-SOD323F_V             182.3750     56.1000      270      "Very Low Forward Voltage MEGA Schottky Barrier Rectifier, 1 A, 660 mV, -65 to 150 degC, 2-Pin SOD323F, RoHS, Tape and Reel"                              
D31        PMEG6010CEJ,115 TopLayer    NXP-SOD323F_V             189.0000     66.3000      270      "Very Low Forward Voltage MEGA Schottky Barrier Rectifier, 1 A, 660 mV, -65 to 150 degC, 2-Pin SOD323F, RoHS, Tape and Reel"                              
R250       3k              TopLayer    SMD/RF_0805               179.1000     68.4000      270      Resistor                                                                                                                                                  
R249       100k            TopLayer    SMD/RF_0805               192.9000     97.7000      180      Resistor                                                                                                                                                  
R248       3k              TopLayer    SMD/RF_0805               181.1000     68.4000      270      Resistor                                                                                                                                                  
R247       2R2             TopLayer    SMD/RF_0805               184.9000     24.7000      360      Resistor                                                                                                                                                  
R246       5M6             TopLayer    SMD/RF_0805               186.9500     70.2000      270      Resistor                                                                                                                                                  
R245       5M6             TopLayer    SMD/RF_0805               184.3000     56.3000      90       Resistor                                                                                                                                                  
R244       2R2             TopLayer    SMD/RF_0805               184.0106     97.8000      180      Resistor                                                                                                                                                  
R243       100k            TopLayer    SMD/RF_0805               183.5000     47.9000      180      Resistor                                                                                                                                                  
R242       3k              TopLayer    SMD/RF_0805               191.2000     51.7000      270      Resistor                                                                                                                                                  
R241       3k              TopLayer    SMD/RF_0805               193.5000     51.7000      270      Resistor                                                                                                                                                  
Q94        FDD7N20         TopLayer    DPAK_2                    184.8000     31.8750      0        "Silicon Carbide Power MOSFET C2M(TM) MOSFET Technology, 1200 V, 36 A, 80 mOhm, 3-Pin TO-247, RoHS"                                                       
Q93        D44H11          BottomLayer TO220_LARS                186.0000     51.3750      270      "NPN Bipolar Transistor"                                                                                                                                  
Q92        FDD7N20         TopLayer    DPAK_2                    192.7000     32.0750      0        "Silicon Carbide Power MOSFET C2M(TM) MOSFET Technology, 1200 V, 36 A, 80 mOhm, 3-Pin TO-247, RoHS"                                                       
Q91        50A02CH         TopLayer    CPH3                      189.9000     70.7000      0        "PNP Bipolar Transistor"                                                                                                                                  
Q90        50C02CH         TopLayer    CPH3                      183.4000     51.7000      180      "NPN Bipolar Transistor"                                                                                                                                  
Q89        FQD7P20         TopLayer    DPAK_2                    192.9000     90.7250      180      "P-Channel SIPMOS Power-Transistor, -60 V VDS, -18.7 A ID, -55 to 175 degC, PG-TO220-3-1, Tube, Green"                                                    
Q88        D45H11          BottomLayer TO220_LARS                186.0000     71.6250      90       "PNP Bipolar Transistor"                                                                                                                                  
Q87        FQD7P20         TopLayer    DPAK_2                    184.1000     90.7250      180      "P-Channel SIPMOS Power-Transistor, -60 V VDS, -18.7 A ID, -55 to 175 degC, PG-TO220-3-1, Tube, Green"                                                    
P13        "Header 2"      TopLayer    DG-MTA-2                  196.0000     56.7300      90       "Header, 2-Pin"                                                                                                                                           
P12        "HEADER 4"      TopLayer    DG-MTA-4                  196.0000     71.1900      90       "Male Header, Pitch 2.5 mm, 1 x 4 Position, Height 6.1 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk"                                                
D30        1PS76SB10       TopLayer    DIOD-SOD-323-2_V_-_CLONED 191.0000     55.9000      270      "Schottky Rectifier"                                                                                                                                      
D29        BAV99           TopLayer    SOT-23_N                  187.7000     52.8000      180      "High-Speed Switching Diode, 100 V, -65 to 150 degC, 3-Pin SOT23 (TO-236AB), RoHS, Tape and Reel"                                                         
D28        BAV99           TopLayer    SOT-23_N                  186.0000     66.5000      180      "High-Speed Switching Diode, 100 V, -65 to 150 degC, 3-Pin SOT23 (TO-236AB), RoHS, Tape and Reel"                                                         
D27        BAV99           TopLayer    SOT-23_N                  187.5000     56.3000      180      "High-Speed Switching Diode, 100 V, -65 to 150 degC, 3-Pin SOT23 (TO-236AB), RoHS, Tape and Reel"                                                         
D26        1PS76SB10       TopLayer    DIOD-SOD-323-2_V_-_CLONED 183.3000     66.2000      270      "Schottky Rectifier"                                                                                                                                      
D25        BAV99           TopLayer    SOT-23_N                  183.9000     70.5000      180      "High-Speed Switching Diode, 100 V, -65 to 150 degC, 3-Pin SOT23 (TO-236AB), RoHS, Tape and Reel"                                                         
C106       100nF           TopLayer    SMD/C_0805                194.2000     79.6000      180      Capacitor                                                                                                                                                 
C105       100nF           TopLayer    SMD/C_0805                194.2000     81.9000      180      Capacitor                                                                                                                                                 
C104       10uF            TopLayer    SMD/C_0805                187.7000     50.1500      180      Capacitor                                                                                                                                                 
C103       10uF            TopLayer    SMD/C_0805                189.3000     74.3000      360      Capacitor                                                                                                                                                 
C102       100nF           TopLayer    SMD/C_0805                192.4000     47.3000      270      Capacitor                                                                                                                                                 
C101       100nF           TopLayer    SMD/C_0805                194.9000     47.3000      270      Capacitor                                                                                                                                                 
Q18        BCM56DS         TopLayer    SC74                      145.1950     72.6250      0        "Bipolar Transistor, 30 V, 1.5 A, Low VCE(sat), NPN Dual, 6-Pin CPH, Pb-Free, Tape and Reel"                                                              
Q21        50C02CH         TopLayer    CPH3                      146.6000     94.1000      270      "NPN Bipolar Transistor"                                                                                                                                  
Q15        50A02CH         TopLayer    CPH3                      152.9000     85.7000      90       "PNP Bipolar Transistor"                                                                                                                                  
U29        LM4040-5        TopLayer    TI-DBZ3_N                 94.1050      8.5000       270      "Precision Micropower Shunt Voltage Reference, 0.2% accuracy, 2.048 V, 15 ppm / degC, 15 mA, -40 to 85 degC, 3-pin SOT-23 (DBZ), Green (RoHS & no Sb/Br)" 
U28        LM4040-5        TopLayer    TI-DBZ3_N                 77.5000      8.7000       0        "Precision Micropower Shunt Voltage Reference, 0.2% accuracy, 2.048 V, 15 ppm / degC, 15 mA, -40 to 85 degC, 3-pin SOT-23 (DBZ), Green (RoHS & no Sb/Br)" 
U27        AD8221ARZ       TopLayer    ADI-R-8_L                 9.2750       38.8250      0        "Precision Instrumentation Amplifier, 2 V/us, -40 to 125 degC, 8-Pin SOIC (R-8), RoHS, Tape and Reel"                                                     
U26        LM4040-2.5      TopLayer    TI-DBZ3_N                 7.8601       67.0000      180      "Precision Micropower Shunt Voltage Reference, 0.2% accuracy, 2.048 V, 15 ppm / degC, 15 mA, -40 to 85 degC, 3-pin SOT-23 (DBZ), Green (RoHS & no Sb/Br)" 
U25        ADA4084-1       TopLayer    SOT-23-OT5_L              16.0000      72.6000      180      "0.9 uA, High Precision Operational Amplifier, 5-Pin SOT-23, Extended Temperature, Tape and Reel"                                                         
U24        LM4040-5        TopLayer    TI-DBZ3_N                 21.8000      54.0000      180      "Precision Micropower Shunt Voltage Reference, 0.2% accuracy, 2.048 V, 15 ppm / degC, 15 mA, -40 to 85 degC, 3-pin SOT-23 (DBZ), Green (RoHS & no Sb/Br)" 
